n,time
0,0
500000,4
1000000,14
1500000,15
2000000,15
2500000,20
3000000,23
3500000,26
4000000,30
4500000,35
5000000,38
5500000,42
6000000,45
6500000,49
7000000,58
7500000,60
8000000,63
8500000,63
9000000,70
9500000,72
10000000,78
