n,time
1000,110.800000
2000,224.800000
3000,380.600000
4000,492.200000
5000,670.800000
6000,789.200000
7000,867.400000
8000,1069.800000
9000,1155.200000
10000,1426.200000
1000,111.200000
2000,217.200000
3000,340.200000
4000,464.200000
5000,626.400000
6000,810.400000
7000,907.400000
8000,1056.000000
9000,1195.000000
10000,1497.600000
1000,113.600000
2000,239.200000
3000,346.800000
4000,520.800000
5000,639.800000
6000,806.000000
7000,970.400000
8000,1138.800000
9000,1213.800000
10000,1356.400000
