n,time
0,0
500000,2
1000000,4
1500000,7
2000000,11
2500000,13
3000000,17
3500000,17
4000000,20
4500000,18
5000000,20
5500000,28
6000000,19
6500000,16
7000000,14
7500000,11
8000000,9
8500000,7
9000000,4
9500000,2
10000000,0
